day,count_opened_cummulative,tlv,usd
2022-05-28,1,0.025000,4.48
2022-05-29,1,0.025000,4.64
2022-05-30,1,0.025000,4.90
2022-05-31,1,0.025000,5.09
2022-06-01,1,0.025000,4.66
2022-06-02,1,0.025000,4.71
2022-06-03,1,0.025000,4.58
2022-06-04,1,0.025000,4.72
2022-06-05,1,0.025000,4.50
2022-06-06,1,0.025000,4.65
2022-06-07,1,0.025000,4.58
2022-06-08,1,0.025000,4.43
2022-06-09,1,0.025000,4.39
2022-06-10,1,0.025000,4.20
2022-06-11,1,0.025000,3.91
2022-06-12,1,0.025000,3.69
2022-06-13,2,0.083290,10.51
2022-06-14,2,0.083290,10.56
2022-06-15,2,0.083290,10.60
2022-06-16,2,0.083290,9.12
2022-06-17,2,0.083290,10.11
2022-06-18,2,0.083290,9.73
2022-06-19,2,0.083290,10.01
2022-06-20,2,0.083290,9.93
2022-06-21,2,0.083290,9.90
2022-06-22,2,0.083290,9.42
2022-06-23,2,0.083290,9.65
2022-06-24,2,0.083290,9.59
2022-06-25,2,0.083290,9.63
2022-06-26,2,0.583286,66.22
2022-06-27,2,0.583286,64.94
2022-06-28,2,0.583286,60.13
2022-06-29,2,0.583286,60.96
2022-06-30,2,0.583286,59.60
2022-07-01,2,0.583286,59.48
2022-07-02,2,0.583286,62.36
2022-07-03,2,0.583286,61.68
2022-07-04,2,0.583286,63.01
2022-07-05,2,0.583286,60.97
2022-07-06,2,0.583286,62.07
2022-07-07,2,0.583286,65.26
2022-07-08,2,0.583286,64.03
2022-07-09,2,0.583286,64.98
2022-07-10,2,0.583286,62.55
2022-07-11,2,0.583286,58.04
2022-07-12,2,0.583058,57.13
2022-07-13,2,0.583058,59.67
2022-07-14,2,0.583058,60.23
2022-07-15,2,0.583058,62.00
2022-07-16,2,0.583058,63.97
2022-07-17,2,0.583058,64.44
2022-07-18,2,0.583058,70.95
2022-07-19,2,0.583058,74.85
2022-07-20,2,1.137471,138.99
2022-07-21,2,1.137471,140.45
2022-07-22,2,1.137471,140.14
2022-07-23,2,1.137471,140.00
2022-07-24,2,1.137471,150.61
2022-07-25,2,1.137471,134.95
2022-07-26,2,1.137471,134.96
2022-07-27,2,1.137471,144.81
2022-07-28,2,1.137471,176.10
2022-07-29,2,1.137471,174.34
2022-07-30,2,1.137471,164.56
2022-07-31,2,1.137471,159.03
2022-08-01,2,1.137471,157.42
2022-08-02,2,1.137471,153.15
2022-08-03,2,1.137471,152.41
2022-08-04,2,1.137471,153.30
2022-08-05,2,1.137471,160.13
2022-08-06,2,1.137471,161.03
2022-08-07,2,1.137471,160.85
2022-08-08,2,1.137471,162.98
2022-08-09,2,1.137244,153.72
2022-08-10,2,1.137244,161.74
2022-08-11,2,1.137244,162.55
2022-08-12,2,1.137244,162.91
2022-08-13,2,1.137244,164.18
2022-08-14,2,1.137244,158.72
2022-08-15,2,1.137244,156.62
2022-08-16,2,1.137244,155.32
2022-08-17,2,1.137244,152.28
2022-08-18,2,1.137244,146.38
2022-08-19,2,1.137244,130.52
2022-08-20,2,1.137244,130.35
2022-08-21,2,1.137244,136.19
2022-08-22,2,1.137244,139.60
2022-08-23,2,1.137244,151.84
2022-08-24,2,1.137244,149.33
2022-08-25,2,1.137244,148.78
2022-08-26,2,1.137244,131.76
2022-08-27,2,1.137244,131.57
2022-08-28,2,1.137244,128.95
2022-08-29,2,1.137244,136.09
2022-08-30,2,1.137244,130.36
2022-08-31,2,1.137244,130.73
2022-09-01,2,1.137244,133.14
2022-09-02,2,1.137244,132.33
2022-09-03,2,1.137244,133.69
2022-09-04,2,1.137244,134.24
2022-09-05,2,1.137244,142.92
2022-09-06,2,1.137244,128.35
2022-09-07,2,1.137244,134.98
2022-09-08,2,1.137244,144.68
2022-09-09,2,1.137244,150.66
2022-09-10,2,1.137244,151.05
2022-09-11,2,1.137244,148.74
2022-09-12,2,1.137017,146.05
2022-09-13,2,1.137017,133.54
2022-09-14,2,1.137017,136.89
2022-09-15,2,1.137017,134.46
2022-09-16,2,1.137017,135.62
2022-09-17,2,1.137017,139.11
2022-09-18,2,1.137017,127.34
2022-09-19,2,1.137017,127.76
2022-09-20,2,1.126196,127.14
2022-09-21,2,1.126196,122.99
2022-09-22,2,1.126196,131.27
2022-09-23,2,1.126196,135.54
2022-09-24,2,1.126196,132.73
2022-09-25,2,1.126196,127.83
2022-09-26,2,1.126196,130.98
2022-09-27,2,1.126196,128.93
2022-09-28,2,1.126196,129.00
2022-09-29,2,1.126196,131.53
2022-09-30,2,1.126196,135.17
2022-10-01,2,1.126196,131.95
2022-10-02,2,1.126196,129.01
2022-10-03,2,1.126196,131.08
2022-10-04,2,1.126196,136.51
2022-10-05,2,1.126196,137.67
2022-10-06,2,1.126196,133.60
2022-10-07,2,1.126196,131.18
2022-10-08,2,1.126196,131.54
2022-10-09,2,1.126196,132.02
2022-10-10,2,1.126196,125.99
2022-10-11,2,1.126196,125.19
2022-10-12,2,1.125970,126.03
2022-10-13,2,1.125970,122.72
2022-10-14,2,1.125970,121.04
2022-10-15,2,1.125970,121.53
2022-10-16,2,1.125970,124.16
2022-10-17,2,1.125970,124.64
2022-10-18,2,1.125970,122.44
2022-10-19,2,1.125970,119.24
2022-10-20,3,1.125978,119.40
2022-10-21,3,1.125978,120.30
2022-10-22,3,1.125978,122.35
2022-10-23,3,1.125978,124.83
2022-10-24,3,1.125978,121.40
2022-10-25,3,1.125978,126.96
2022-10-26,3,1.125978,129.11
2022-10-27,3,1.125978,126.73
2022-10-28,3,1.125978,129.98
2022-10-29,3,1.126003,133.26
2022-10-30,3,1.126003,130.83
2022-10-31,3,1.126003,129.63
2022-11-01,3,1.126003,129.52
2022-11-02,3,1.126003,128.00
2022-11-03,3,1.126003,130.20
2022-11-04,3,1.126003,139.34
2022-11-05,3,1.126003,139.30
2022-11-06,3,1.126003,131.50
2022-11-07,3,1.126003,132.55
2022-11-08,3,1.126003,116.18
2022-11-09,3,1.126003,99.74
2022-11-10,3,1.126003,115.74
2022-11-11,3,1.125778,115.89
2022-11-12,3,1.125778,114.88
2022-11-13,3,1.125778,111.81
2022-11-14,3,1.125778,116.45
2022-11-15,3,1.125778,116.74
2022-11-16,4,1.125963,117.79
2022-11-17,4,1.125963,116.85
2022-11-18,4,1.125963,118.06
2022-11-19,4,1.125963,118.01
2022-11-20,4,1.125963,118.13
2022-11-21,4,1.125963,116.43
2022-11-22,5,1.261788,137.41
2022-11-23,5,1.234128,141.34
2022-11-24,5,1.234128,144.01
2022-11-25,5,1.234128,140.57
2022-11-26,5,1.234128,138.58
2022-11-27,5,1.206468,134.16
2022-11-28,5,1.206468,132.75
2022-11-29,5,1.206468,133.83
2022-11-30,5,1.206468,136.96
2022-12-01,5,1.178808,129.92
2022-12-02,5,1.178808,131.98
2022-12-03,5,1.151148,126.47
2022-12-04,5,1.151148,128.12
2022-12-05,5,1.151148,127.16
2022-12-06,5,1.151148,128.90
2022-12-07,5,1.151148,125.92
2022-12-08,5,1.151148,128.70
2022-12-09,5,1.151148,126.44
2022-12-10,5,1.151148,125.53
2022-12-11,5,1.150923,122.48
2022-12-12,5,1.150923,121.87
2022-12-13,5,1.150923,126.42
2022-12-14,5,1.150923,125.38
2022-12-15,6,1.150958,123.14
2022-12-16,6,1.150958,114.66
2022-12-17,6,1.150958,118.58
2022-12-18,6,1.150958,117.15
2022-12-19,7,1.280775,126.27
2022-12-20,7,1.280792,130.17
2022-12-21,7,1.280792,128.32
2022-12-22,7,1.280792,129.56
2022-12-23,7,1.280792,130.33
2022-12-24,7,1.280792,130.31
2022-12-25,7,1.280792,130.09
2022-12-26,7,1.280792,131.83
2022-12-27,7,1.280792,129.72
2022-12-28,7,1.257632,124.61
2022-12-29,7,1.257632,123.44
2022-12-30,7,1.257632,121.32
2022-12-31,7,1.257632,121.92
2023-01-01,7,1.257632,121.49
2023-01-02,7,1.257632,124.58
2023-01-03,7,1.257632,125.03
2023-01-04,16,19.257632,1956.09
2023-01-05,17,21.234472,2139.85
2023-01-06,17,21.234472,2161.10
2023-01-07,17,21.211292,2149.32
2023-01-08,17,21.211292,2194.54
2023-01-09,17,21.211292,2262.49
2023-01-10,17,21.211292,2284.16
2023-01-11,17,21.211068,2345.67
2023-01-12,17,21.211068,2534.88
2023-01-13,17,21.211068,2618.13
2023-01-14,17,21.211068,2670.54
2023-01-15,17,21.211068,2647.08
2023-01-16,17,21.211068,2629.58
2023-01-17,17,21.211068,2602.83
2023-01-18,17,21.211068,2525.04
2023-01-19,17,21.211068,2575.73
2023-01-20,17,21.211068,2708.24
2023-01-21,17,21.211068,2720.89
2023-01-22,17,21.211068,2729.67
2023-01-23,17,21.211068,2833.26
2023-01-24,17,21.211068,2717.97
2023-01-25,17,21.211068,2802.57
2023-01-26,17,21.211068,2841.15
2023-01-27,17,21.211068,2865.47
2023-01-28,17,21.211068,2814.96
2023-01-29,17,21.211068,2905.76
2023-01-30,18,25.736145,3358.62
2023-01-31,18,25.736145,3433.55
2023-02-01,18,25.696036,3487.01
2023-02-02,18,25.512439,3500.66
2023-02-03,19,25.712419,3539.36
2023-02-04,20,25.718921,3547.25
2023-02-05,20,25.718384,3456.67
2023-02-06,20,25.718384,3382.77
2023-02-07,20,25.718384,3494.73
2023-02-08,20,25.717950,3377.28
2023-02-09,20,25.717559,3241.83
2023-02-10,20,25.717559,3207.25
2023-02-11,20,25.717019,3213.00
2023-02-12,20,25.716832,3154.78
2023-02-13,20,25.716722,3187.87
2023-02-14,20,25.716622,3262.69
2023-02-15,20,25.705856,3459.88
2023-02-16,20,25.705818,3319.01
2023-02-17,22,29.273816,3925.39
2023-02-18,22,29.273797,3990.16
2023-02-19,23,29.377375,3983.21
2023-02-20,25,29.696839,4279.59
2023-02-21,25,29.696839,4314.06
2023-02-22,26,29.777760,4222.35
2023-02-23,26,29.777760,4141.01
2023-02-24,26,29.777766,3953.12
2023-02-25,26,29.777766,3964.89
2023-02-26,26,29.750106,4045.88
2023-02-27,27,29.747993,4008.09
2023-02-28,27,29.720333,3911.61
2023-03-01,29,29.648933,3969.20
2023-03-02,29,29.462440,3878.28
2023-03-03,29,29.460428,3701.35
2023-03-04,29,29.460428,3669.38
2023-03-05,29,29.460428,3657.62
2023-03-06,29,29.460428,3666.11
2023-03-07,29,29.458358,3588.87
2023-03-08,30,30.445922,3545.17
2023-03-09,30,32.114942,3541.41
2023-03-10,30,32.114942,3581.85
2023-03-11,30,32.114942,3639.83
2023-03-12,31,37.855941,4574.17
2023-03-13,31,37.855719,4808.18
2023-03-14,31,37.855719,4970.70
2023-03-15,31,37.853690,4689.22
2023-03-16,31,37.853690,4811.20
2023-03-17,31,37.843265,5139.48
2023-03-18,31,37.843265,4989.09
2023-03-19,31,37.846541,5179.70
2023-03-20,31,37.846541,4972.67
2023-03-21,31,37.846541,5091.35
2023-03-22,31,37.817029,4791.49
2023-03-23,31,37.817029,4881.07
2023-03-24,31,37.817029,4684.90
2023-03-25,31,37.806423,4742.07
2023-03-26,31,37.806423,4709.80
2023-03-27,31,37.814387,4554.45
2023-03-28,31,37.814387,4583.71
2023-03-29,31,37.814387,4666.78
2023-03-30,31,37.635539,4558.53
2023-03-31,31,37.635539,4671.94
2023-04-01,31,37.613944,4751.04
2023-04-02,31,37.613944,4630.22
2023-04-03,31,37.613944,4811.19
2023-04-04,31,37.609975,4779.25
2023-04-05,31,37.600087,4786.32
2023-04-06,31,37.600087,4740.13
2023-04-07,31,42.442360,5296.73
2023-04-08,31,42.442360,5259.69
2023-04-09,31,42.442360,5332.84
2023-04-10,31,42.442360,5433.88
2023-04-11,31,41.002905,5294.85
2023-04-12,31,41.002905,5284.78
2023-04-13,31,41.002905,5381.09
2023-04-14,31,40.973980,5431.11
2023-04-15,31,40.973980,5443.11
2023-04-16,31,40.973980,5501.62
2023-04-17,31,40.973980,5397.66
2023-04-18,33,42.310547,5651.26
2023-04-19,33,42.309298,5288.68
2023-04-20,33,42.278604,5201.80
2023-04-21,33,42.278604,5064.43
2023-04-22,33,42.266271,5172.73
2023-04-23,33,42.266271,5072.37
2023-04-24,33,42.266271,5041.70
2023-04-25,33,42.256111,5083.84
2023-04-26,33,42.256111,4965.88
2023-04-27,33,42.256111,4952.82
2023-04-28,33,42.079008,4968.89
2023-04-29,33,42.079008,5033.04
2023-04-30,33,42.059549,4979.93
2023-05-01,33,42.057752,4924.92
2023-05-02,33,42.046422,5012.86
2023-05-03,33,42.047546,5049.86
2023-05-04,33,42.047546,4937.69
2023-05-05,33,42.037758,5049.98
2023-05-06,33,42.037758,4922.41
2023-05-07,33,42.037758,4914.43
2023-05-08,33,42.037758,4684.47
2023-05-09,33,42.037758,5114.32
2023-05-10,33,40.948003,4759.63
2023-05-11,33,40.900609,4646.61
